Gene	On_1_Eye	On_2_Eye	On_3_Eye
ENSONIG00000000955	21	8	424
ENSONIG00000000958	0	0	4
ENSONIG00000000959	7	1	22
ENSONIG00000000960	5	1	29
ENSONIG00000000961	0	0	0
ENSONIG00000000963	0	0	0
ENSONIG00000000964	0	0	0
ENSONIG00000000965	0	0	0
ENSONIG00000000966	6	94	156
ENSONIG00000000967	19	1	19
ENSONIG00000000968	1208	1	42
ENSONIG00000000969	6	1	16
ENSONIG00000000971	0	0	0
ENSONIG00000000972	0	0	0
ENSONIG00000000974	5	3	55
ENSONIG00000000975	0	1	2
ENSONIG00000000977	1	2	9
ENSONIG00000000978	8	1	21
ENSONIG00000000979	0	0	0
ENSONIG00000000980	0	1	27
ENSONIG00000000981	0	0	0
ENSONIG00000000982	0	0	0
ENSONIG00000000983	1	1	2
ENSONIG00000000984	15	3	14
ENSONIG00000000985	0	0	3
ENSONIG00000000986	0	0	0
ENSONIG00000000987	0	0	0
ENSONIG00000000988	3	6	26
ENSONIG00000000990	0	0	0
ENSONIG00000000991	92	155	6019
ENSONIG00000000992	1	0	8
ENSONIG00000000993	4	2	6
ENSONIG00000000994	0	0	0
ENSONIG00000000996	1	0	2
ENSONIG00000000997	3	0	4
ENSONIG00000001000	1	0	4
ENSONIG00000001001	1	0	6
ENSONIG00000001002	1	1	11
ENSONIG00000001003	1	0	13
ENSONIG00000001005	6	5	10
ENSONIG00000001006	0	0	2
ENSONIG00000001008	0	0	0
ENSONIG00000001009	0	0	0
ENSONIG00000001012	37	34	41
ENSONIG00000001013	0	0	0
ENSONIG00000001015	23	7	32
ENSONIG00000001016	4	7	43
ENSONIG00000001017	23	1	15
ENSONIG00000001018	8	1	24
ENSONIG00000001019	0	0	2
ENSONIG00000001021	1	5	49
ENSONIG00000001022	0	0	0
ENSONIG00000001027	0	0	0
ENSONIG00000001028	0	0	0
ENSONIG00000001029	0	0	1
ENSONIG00000001030	0	0	0
ENSONIG00000001031	0	0	0
ENSONIG00000001032	0	0	3
ENSONIG00000001033	0	0	0
ENSONIG00000001034	5	0	2
ENSONIG00000001035	5	5	37
ENSONIG00000001036	2	2	27
ENSONIG00000001037	6	3	27
ENSONIG00000001038	0	0	24
ENSONIG00000001039	1	2	53
